program_name,test_file,usable,llm_test_file,builds,passes,coverage_before,coverage_after,coverage_delta,kept,discard_reason,prompt_mode,RELIABLE,REASON
black_1,test_black.py,True,test_black_DEEPSEEK_CORNERCASES.py,True,True,80,83,3,True,,CORNERCASES,False,no assertions
expression_1,test_expression.py,True,test_expression_DEEPSEEK_CORNERCASES.py,True,True,88,90,2,True,,CORNERCASES,True,
fastapi_1,test_jsonable_encoder.py,True,test_jsonable_encoder_DEEPSEEK_CORNERCASES.py,True,True,44,46,2,True,,CORNERCASES,True,
fastapi_2,test_jsonable_encoder.py,True,test_jsonable_encoder_DEEPSEEK_CORNERCASES.py,True,True,44,45,1,True,,CORNERCASES,False,"uses undefined variable, such as ModelWithCustomEncoder"
fastapi_4,test_jsonable_encoder.py,True,test_jsonable_encoder_DEEPSEEK_CORNERCASES.py,True,True,43,44,1,True,,CORNERCASES,True,
fastapi_5,test_jsonable_encoder.py,True,test_jsonable_encoder_DEEPSEEK_CORNERCASES.py,True,True,43,44,1,True,,CORNERCASES,False,incorrect expected behavior
fastapi_8,test_jsonable_encoder.py,True,test_jsonable_encoder_DEEPSEEK_CORNERCASES.py,True,True,44,47,3,True,,CORNERCASES,True,
fastapi_9,test_jsonable_encoder.py,True,test_jsonable_encoder_DEEPSEEK_CORNERCASES.py,True,True,44,47,3,True,,CORNERCASES,False,last test has no assertions
fastapi_11,test_jsonable_encoder.py,True,test_jsonable_encoder_DEEPSEEK_CORNERCASES.py,True,True,44,47,3,True,,CORNERCASES,True,
fastapi_16,test_jsonable_encoder.py,True,test_jsonable_encoder_DEEPSEEK_CORNERCASES.py,True,True,50,51,1,True,,CORNERCASES,True,
httpie_4,test_exit_status.py,True,test_exit_status_DEEPSEEK_CORNERCASES.py,True,True,56,59,3,True,,CORNERCASES,False,some tests have no assertions
httpie_5,test_exit_status.py,True,test_exit_status_DEEPSEEK_CORNERCASES.py,True,True,56,59,3,True,,CORNERCASES,False,one test has no assertions
keras_18,test_loss_masking.py,True,test_loss_masking_DEEPSEEK_CORNERCASES.py,True,True,7,9,2,True,,CORNERCASES,False,no assertions
keras_32,test_loss_masking.py,True,test_loss_masking_DEEPSEEK_CORNERCASES.py,True,True,7,9,2,True,,CORNERCASES,True,
matplotlib_1,test_container.py,True,test_container_DEEPSEEK_CORNERCASES.py,True,True,15,16,1,True,,CORNERCASES,False,incorrect expected behavior
matplotlib_2,test_container.py,True,test_container_DEEPSEEK_CORNERCASES.py,True,True,15,16,1,True,,CORNERCASES,True,
matplotlib_21,test_container.py,True,test_container_DEEPSEEK_CORNERCASES.py,True,True,15,16,1,True,,CORNERCASES,False,no assertions
sanic_4,test_middleware.py,True,test_middleware_DEEPSEEK_CORNERCASES.py,True,True,25,28,3,True,,CORNERCASES,True,
