program_name,test_file,usable,llm_test_file,builds,passes,coverage_before,coverage_after,coverage_delta,kept,discard_reason
ansible_1,test_errors.py,True,,,,52,,,,
ansible_2,test_errors.py,True,,,,52,,,,
ansible_3,test_errors.py,True,,,,52,,,,
ansible_4,test_errors.py,True,,,,52,,,,
ansible_5,test_errors.py,True,,,,52,,,,
ansible_6,test_errors.py,True,,,,52,,,,
ansible_7,test_errors.py,True,,,,52,,,,
ansible_8,test_errors.py,True,,,,52,,,,
ansible_9,test_errors.py,True,,,,52,,,,
ansible_10,test_errors.py,True,,,,52,,,,
ansible_11,test_errors.py,True,,,,52,,,,
ansible_12,test_errors.py,True,,,,52,,,,
ansible_13,test_errors.py,True,,,,52,,,,
ansible_14,test_errors.py,True,,,,52,,,,
ansible_15,test_errors.py,True,,,,52,,,,
ansible_16,test_errors.py,True,,,,52,,,,
ansible_17,test_errors.py,True,,,,52,,,,
ansible_18,test_errors.py,True,,,,52,,,,
