program_name,test_file,usable,llm_test_file,builds,passes,coverage_before,coverage_after,coverage_delta,kept,discard_reason
black_1,test_black.py,False,,,,80.0,,,,
black_2,test_black.py,False,,,,80.0,,,,
black_3,test_black.py,False,,,,80.0,,,,
black_4,test_black.py,True,,,,80.0,,,,
black_5,test_black.py,True,,,,79.0,,,,
black_6,test_black.py,True,,,,79.0,,,,
black_7,test_black.py,True,,,,79.0,,,,
black_8,test_black.py,True,,,,79.0,,,,
black_9,test_black.py,True,,,,79.0,,,,
black_10,test_black.py,True,,,,69.0,,,,
black_11,test_black.py,True,,,,69.0,,,,
black_12,test_black.py,True,,,,71.0,,,,
black_13,test_black.py,True,,,,71.0,,,,
black_14,test_black.py,True,,,,71.0,,,,
black_15,test_black.py,True,,,,72.0,,,,
black_16,test_black.py,True,,,,72.0,,,,
black_17,test_black.py,True,,,,66.0,,,,
black_18,test_black.py,True,,,,66.0,,,,
black_19,test_black.py,True,,,,33.0,,,,
black_20,test_black.py,True,,,,33.0,,,,
black_21,test_black.py,True,,,,32.0,,,,
black_22,test_black.py,True,,,,31.0,,,,
black_23,test_black.py,True,,,,29.0,,,,
