program_name,test_file,usable,llm_test_file,builds,passes,coverage_before,coverage_after,coverage_delta,kept,discard_reason
fastapi_1,test_jsonable_encoder.py,True,,,,44,,,,
fastapi_2,test_jsonable_encoder.py,True,,,,44,,,,
fastapi_3,test_jsonable_encoder.py,True,,,,44,,,,
fastapi_4,test_jsonable_encoder.py,True,,,,43,,,,
fastapi_5,test_jsonable_encoder.py,True,,,,43,,,,
fastapi_6,test_jsonable_encoder.py,True,,,,43,,,,
fastapi_7,test_jsonable_encoder.py,True,,,,43,,,,
fastapi_8,test_jsonable_encoder.py,True,,,,44,,,,
fastapi_9,test_jsonable_encoder.py,True,,,,44,,,,
fastapi_10,test_jsonable_encoder.py,True,,,,44,,,,
fastapi_11,test_jsonable_encoder.py,True,,,,44,,,,
fastapi_12,test_jsonable_encoder.py,True,,,,47,,,,
fastapi_13,test_jsonable_encoder.py,True,,,,48,,,,
fastapi_14,test_jsonable_encoder.py,True,,,,50,,,,
fastapi_15,test_jsonable_encoder.py,True,,,,50,,,,
fastapi_16,test_jsonable_encoder.py,True,,,,50,,,,
