program_name,test_file,usable,llm_test_file,builds,passes,coverage_before,coverage_after,coverage_delta,kept,discard_reason
luigi_1,factorial_test.py,True,,,,51.0,,,,
luigi_2,factorial_test.py,True,,,,51.0,,,,
luigi_3,factorial_test.py,True,,,,51.0,,,,
luigi_4,factorial_test.py,True,,,,51.0,,,,
luigi_5,factorial_test.py,True,,,,51.0,,,,
luigi_6,factorial_test.py,True,,,,51.0,,,,
luigi_7,factorial_test.py,True,,,,51.0,,,,
luigi_8,factorial_test.py,True,,,,51.0,,,,
luigi_9,factorial_test.py,True,,,,51.0,,,,
luigi_10,factorial_test.py,True,,,,51.0,,,,
luigi_11,factorial_test.py,True,,,,51.0,,,,
luigi_12,factorial_test.py,True,,,,51.0,,,,
luigi_13,factorial_test.py,True,,,,51.0,,,,
luigi_14,factorial_test.py,True,,,,51.0,,,,
luigi_15,factorial_test.py,True,,,,51.0,,,,
luigi_16,factorial_test.py,True,,,,51.0,,,,
luigi_17,factorial_test.py,True,,,,51.0,,,,
luigi_18,factorial_test.py,True,,,,51.0,,,,
luigi_19,factorial_test.py,True,,,,51.0,,,,
luigi_20,factorial_test.py,True,,,,51.0,,,,
luigi_21,factorial_test.py,True,,,,51.0,,,,
luigi_22,factorial_test.py,True,,,,51.0,,,,
luigi_23,factorial_test.py,True,,,,51.0,,,,
luigi_24,factorial_test.py,True,,,,51.0,,,,
luigi_25,factorial_test.py,True,,,,51.0,,,,
luigi_26,factorial_test.py,True,,,,51.0,,,,
luigi_27,factorial_test.py,True,,,,51.0,,,,
luigi_28,factorial_test.py,True,,,,51.0,,,,
luigi_29,factorial_test.py,True,,,,51.0,,,,
luigi_30,factorial_test.py,True,,,,51.0,,,,
luigi_31,factorial_test.py,True,,,,51.0,,,,
luigi_32,factorial_test.py,True,,,,51.0,,,,
luigi_33,factorial_test.py,True,,,,51.0,,,,
