program_name,test_file,usable,llm_test_file,builds,passes,coverage_before,coverage_after,coverage_delta,kept,discard_reason,prompt_mode
ansible_1,test_errors.py,True,test_errors_LLAMA_STATEMENTCOMPLETE.py,False,,52.0,,,,1.0,STATEMENTCOMPLETE
ansible_2,test_errors.py,True,test_errors_LLAMA_STATEMENTCOMPLETE.py,False,,52.0,,,,1.0,STATEMENTCOMPLETE
ansible_3,test_errors.py,True,test_errors_LLAMA_STATEMENTCOMPLETE.py,True,True,52.0,65.0,13.0,True,,STATEMENTCOMPLETE
ansible_4,test_errors.py,True,test_errors_LLAMA_STATEMENTCOMPLETE.py,False,,52.0,,,,1.0,STATEMENTCOMPLETE
ansible_5,test_errors.py,True,test_errors_LLAMA_STATEMENTCOMPLETE.py,False,,52.0,,,,1.0,STATEMENTCOMPLETE
ansible_6,test_errors.py,True,test_errors_LLAMA_STATEMENTCOMPLETE.py,False,,52.0,,,,1.0,STATEMENTCOMPLETE
ansible_7,test_errors.py,True,test_errors_LLAMA_STATEMENTCOMPLETE.py,False,,52.0,,,,1.0,STATEMENTCOMPLETE
ansible_8,test_errors.py,True,test_errors_LLAMA_STATEMENTCOMPLETE.py,False,,52.0,,,,1.0,STATEMENTCOMPLETE
ansible_9,test_errors.py,True,test_errors_LLAMA_STATEMENTCOMPLETE.py,False,,52.0,,,,1.0,STATEMENTCOMPLETE
ansible_10,test_errors.py,True,test_errors_LLAMA_STATEMENTCOMPLETE.py,False,,52.0,,,,1.0,STATEMENTCOMPLETE
ansible_11,test_errors.py,True,test_errors_LLAMA_STATEMENTCOMPLETE.py,False,,52.0,,,,1.0,STATEMENTCOMPLETE
ansible_12,test_errors.py,True,test_errors_LLAMA_STATEMENTCOMPLETE.py,False,,52.0,,,,1.0,STATEMENTCOMPLETE
ansible_13,test_errors.py,True,test_errors_LLAMA_STATEMENTCOMPLETE.py,False,,52.0,,,,1.0,STATEMENTCOMPLETE
ansible_14,test_errors.py,True,test_errors_LLAMA_STATEMENTCOMPLETE.py,False,,52.0,,,,1.0,STATEMENTCOMPLETE
ansible_15,test_errors.py,True,test_errors_LLAMA_STATEMENTCOMPLETE.py,False,,52.0,,,,1.0,STATEMENTCOMPLETE
ansible_16,test_errors.py,True,test_errors_LLAMA_STATEMENTCOMPLETE.py,False,,52.0,,,,1.0,STATEMENTCOMPLETE
ansible_17,test_errors.py,True,test_errors_LLAMA_STATEMENTCOMPLETE.py,False,,52.0,,,,1.0,STATEMENTCOMPLETE
ansible_18,test_errors.py,True,test_errors_LLAMA_STATEMENTCOMPLETE.py,False,,52.0,,,,1.0,STATEMENTCOMPLETE
black_1,test_black.py,True,test_black_LLAMA_STATEMENTCOMPLETE.py,False,,80.0,,,,1.0,STATEMENTCOMPLETE
black_2,test_black.py,True,test_black_LLAMA_STATEMENTCOMPLETE.py,False,,80.0,,,,1.0,STATEMENTCOMPLETE
black_3,test_black.py,True,test_black_LLAMA_STATEMENTCOMPLETE.py,False,,80.0,,,,1.0,STATEMENTCOMPLETE
black_4,test_black.py,True,test_black_LLAMA_STATEMENTCOMPLETE.py,False,,80.0,,,,1.0,STATEMENTCOMPLETE
black_5,test_black.py,True,test_black_LLAMA_STATEMENTCOMPLETE.py,False,,79.0,,,,1.0,STATEMENTCOMPLETE
black_6,test_black.py,True,test_black_LLAMA_STATEMENTCOMPLETE.py,False,,79.0,,,,1.0,STATEMENTCOMPLETE
black_7,test_black.py,True,test_black_LLAMA_STATEMENTCOMPLETE.py,False,,79.0,,,,1.0,STATEMENTCOMPLETE
black_8,test_black.py,True,test_black_LLAMA_STATEMENTCOMPLETE.py,False,,79.0,,,,1.0,STATEMENTCOMPLETE
black_9,test_black.py,True,test_black_LLAMA_STATEMENTCOMPLETE.py,False,,79.0,,,,1.0,STATEMENTCOMPLETE
black_10,test_black.py,True,test_black_LLAMA_STATEMENTCOMPLETE.py,False,,69.0,,,,1.0,STATEMENTCOMPLETE
black_11,test_black.py,True,test_black_LLAMA_STATEMENTCOMPLETE.py,True,True,69.0,89.0,20.0,True,,STATEMENTCOMPLETE
black_12,test_black.py,True,test_black_LLAMA_STATEMENTCOMPLETE.py,False,,71.0,,,,1.0,STATEMENTCOMPLETE
black_13,test_black.py,True,test_black_LLAMA_STATEMENTCOMPLETE.py,False,,71.0,,,,1.0,STATEMENTCOMPLETE
black_14,test_black.py,True,test_black_LLAMA_STATEMENTCOMPLETE.py,False,,71.0,,,,1.0,STATEMENTCOMPLETE
black_15,test_black.py,True,test_black_LLAMA_STATEMENTCOMPLETE.py,False,,72.0,,,,1.0,STATEMENTCOMPLETE
black_16,test_black.py,True,test_black_LLAMA_STATEMENTCOMPLETE.py,False,,72.0,,,,1.0,STATEMENTCOMPLETE
black_17,test_black.py,True,test_black_LLAMA_STATEMENTCOMPLETE.py,False,,66.0,,,,1.0,STATEMENTCOMPLETE
black_18,test_black.py,True,test_black_LLAMA_STATEMENTCOMPLETE.py,False,,66.0,,,,1.0,STATEMENTCOMPLETE
black_19,test_black.py,True,test_black_LLAMA_STATEMENTCOMPLETE.py,False,,33.0,,,,1.0,STATEMENTCOMPLETE
