program_name,test_file,usable,llm_test_file,builds,passes,coverage_before,coverage_after,coverage_delta,kept,discard_reason,prompt_mode
ansible_1,test_errors.py,True,,,,52.0,,,,,
ansible_2,test_errors.py,True,,,,52.0,,,,,
ansible_3,test_errors.py,True,,,,52.0,,,,,
ansible_4,test_errors.py,True,,,,52.0,,,,,
ansible_5,test_errors.py,True,,,,52.0,,,,,
ansible_6,test_errors.py,True,,,,52.0,,,,,
ansible_7,test_errors.py,True,,,,52.0,,,,,
ansible_8,test_errors.py,True,,,,52.0,,,,,
ansible_9,test_errors.py,True,,,,52.0,,,,,
ansible_10,test_errors.py,True,,,,52.0,,,,,
ansible_11,test_errors.py,True,,,,52.0,,,,,
ansible_12,test_errors.py,True,,,,52.0,,,,,
ansible_13,test_errors.py,True,,,,52.0,,,,,
ansible_14,test_errors.py,True,,,,52.0,,,,,
ansible_15,test_errors.py,True,,,,52.0,,,,,
ansible_16,test_errors.py,True,,,,52.0,,,,,
ansible_17,test_errors.py,True,,,,52.0,,,,,
ansible_18,test_errors.py,True,,,,52.0,,,,,
black_1,test_black.py,False,,,,80.0,,,,,
black_2,test_black.py,False,,,,80.0,,,,,
black_3,test_black.py,False,,,,80.0,,,,,
black_4,test_black.py,True,,,,80.0,,,,,
black_5,test_black.py,True,,,,79.0,,,,,
black_6,test_black.py,True,,,,79.0,,,,,
black_7,test_black.py,True,,,,79.0,,,,,
black_8,test_black.py,True,,,,79.0,,,,,
black_9,test_black.py,True,,,,79.0,,,,,
black_10,test_black.py,True,,,,69.0,,,,,
black_11,test_black.py,True,,,,69.0,,,,,
black_12,test_black.py,True,,,,71.0,,,,,
black_13,test_black.py,True,,,,71.0,,,,,
black_14,test_black.py,True,,,,71.0,,,,,
black_15,test_black.py,True,,,,72.0,,,,,
black_16,test_black.py,True,,,,72.0,,,,,
black_17,test_black.py,True,,,,66.0,,,,,
black_18,test_black.py,True,,,,66.0,,,,,
black_19,test_black.py,True,,,,33.0,,,,,
black_20,test_black.py,True,,,,33.0,,,,,
black_21,test_black.py,True,,,,32.0,,,,,
black_22,test_black.py,True,,,,31.0,,,,,
black_23,test_black.py,True,,,,29.0,,,,,
calculator_1,test_calc.py,True,test_calc_LLAMA_TESTONLY.py,True,False,100.0,,,,2.0,TESTONLY
cookiecutter_1,test_generate_file.py,True,,,,44.0,,,,,
cookiecutter_2,test_generate_file.py,True,,,,45.0,,,,,
cookiecutter_3,test_generate_file.py,True,,,,41.0,,,,,
cookiecutter_4,test_generate_file.py,True,,,,42.0,,,,,
expression_1,test_expression.py,True,,,,88.0,,,,,
fastapi_1,test_jsonable_encoder.py,True,,,,44.0,,,,,
fastapi_2,test_jsonable_encoder.py,True,,,,44.0,,,,,
fastapi_3,test_jsonable_encoder.py,True,,,,44.0,,,,,
fastapi_4,test_jsonable_encoder.py,True,,,,43.0,,,,,
fastapi_5,test_jsonable_encoder.py,True,,,,43.0,,,,,
fastapi_6,test_jsonable_encoder.py,True,,,,43.0,,,,,
fastapi_7,test_jsonable_encoder.py,True,,,,43.0,,,,,
fastapi_8,test_jsonable_encoder.py,True,,,,44.0,,,,,
fastapi_9,test_jsonable_encoder.py,True,,,,44.0,,,,,
fastapi_10,test_jsonable_encoder.py,True,,,,44.0,,,,,
fastapi_11,test_jsonable_encoder.py,True,,,,44.0,,,,,
fastapi_12,test_jsonable_encoder.py,True,,,,47.0,,,,,
fastapi_13,test_jsonable_encoder.py,True,,,,48.0,,,,,
fastapi_14,test_jsonable_encoder.py,True,,,,50.0,,,,,
fastapi_15,test_jsonable_encoder.py,True,,,,50.0,,,,,
fastapi_16,test_jsonable_encoder.py,True,,,,50.0,,,,,
httpie_1,test_exit_status.py,True,,,,57.0,,,,,
httpie_2,test_exit_status.py,True,,,,57.0,,,,,
httpie_3,test_exit_status.py,True,,,,57.0,,,,,
httpie_4,test_exit_status.py,True,,,,56.0,,,,,
httpie_5,test_exit_status.py,True,,,,56.0,,,,,
keras_1,test_loss_masking.py,True,,,,7.0,,,,,
keras_2,test_loss_masking.py,True,,,,7.0,,,,,
keras_3,test_loss_masking.py,True,,,,7.0,,,,,
keras_4,test_loss_masking.py,True,,,,7.0,,,,,
keras_5,test_loss_masking.py,True,,,,7.0,,,,,
keras_6,test_loss_masking.py,True,,,,7.0,,,,,
keras_7,test_loss_masking.py,True,,,,7.0,,,,,
keras_8,test_loss_masking.py,True,,,,7.0,,,,,
keras_9,test_loss_masking.py,True,,,,7.0,,,,,
keras_10,test_loss_masking.py,True,,,,7.0,,,,,
keras_11,test_loss_masking.py,True,,,,7.0,,,,,
keras_12,test_loss_masking.py,True,,,,7.0,,,,,
keras_13,test_loss_masking.py,True,,,,7.0,,,,,
keras_14,test_loss_masking.py,True,,,,7.0,,,,,
keras_15,test_loss_masking.py,True,,,,7.0,,,,,
keras_16,test_loss_masking.py,True,,,,7.0,,,,,
keras_17,test_loss_masking.py,True,,,,7.0,,,,,
keras_18,test_loss_masking.py,True,,,,7.0,,,,,
keras_19,test_loss_masking.py,True,,,,7.0,,,,,
keras_20,test_loss_masking.py,True,,,,7.0,,,,,
keras_21,test_loss_masking.py,True,,,,7.0,,,,,
keras_22,test_loss_masking.py,True,,,,7.0,,,,,
keras_23,test_loss_masking.py,True,,,,7.0,,,,,
keras_24,test_loss_masking.py,True,,,,7.0,,,,,
keras_25,test_loss_masking.py,True,,,,7.0,,,,,
keras_26,test_loss_masking.py,True,,,,7.0,,,,,
keras_27,test_loss_masking.py,True,,,,7.0,,,,,
keras_28,test_loss_masking.py,True,,,,7.0,,,,,
keras_29,test_loss_masking.py,True,,,,7.0,,,,,
keras_30,test_loss_masking.py,True,,,,7.0,,,,,
keras_31,test_loss_masking.py,True,,,,7.0,,,,,
keras_32,test_loss_masking.py,True,,,,7.0,,,,,
keras_33,test_loss_masking.py,True,,,,7.0,,,,,
keras_34,test_loss_masking.py,True,,,,7.0,,,,,
keras_35,test_loss_masking.py,True,,,,7.0,,,,,
keras_36,test_loss_masking.py,True,,,,7.0,,,,,
keras_37,test_loss_masking.py,True,,,,7.0,,,,,
keras_38,test_loss_masking.py,True,,,,7.0,,,,,
keras_39,test_loss_masking.py,True,,,,7.0,,,,,
keras_40,test_loss_masking.py,True,,,,7.0,,,,,
keras_41,test_loss_masking.py,True,,,,7.0,,,,,
keras_42,test_loss_masking.py,True,,,,7.0,,,,,
keras_43,test_loss_masking.py,True,,,,7.0,,,,,
keras_44,test_loss_masking.py,True,,,,7.0,,,,,
keras_45,test_loss_masking.py,True,,,,7.0,,,,,
luigi_1,factorial_test.py,True,,,,51.0,,,,,
luigi_2,factorial_test.py,True,,,,51.0,,,,,
luigi_3,factorial_test.py,True,,,,51.0,,,,,
luigi_4,factorial_test.py,True,,,,51.0,,,,,
luigi_5,factorial_test.py,True,,,,51.0,,,,,
luigi_6,factorial_test.py,True,,,,51.0,,,,,
luigi_7,factorial_test.py,True,,,,51.0,,,,,
luigi_8,factorial_test.py,True,,,,51.0,,,,,
luigi_9,factorial_test.py,True,,,,51.0,,,,,
luigi_10,factorial_test.py,True,,,,51.0,,,,,
luigi_11,factorial_test.py,True,,,,51.0,,,,,
luigi_12,factorial_test.py,True,,,,51.0,,,,,
luigi_13,factorial_test.py,True,,,,51.0,,,,,
luigi_14,factorial_test.py,True,,,,51.0,,,,,
luigi_15,factorial_test.py,True,,,,51.0,,,,,
luigi_16,factorial_test.py,True,,,,51.0,,,,,
luigi_17,factorial_test.py,True,,,,51.0,,,,,
luigi_18,factorial_test.py,True,,,,51.0,,,,,
luigi_19,factorial_test.py,True,,,,51.0,,,,,
luigi_20,factorial_test.py,True,,,,51.0,,,,,
luigi_21,factorial_test.py,True,,,,51.0,,,,,
luigi_22,factorial_test.py,True,,,,51.0,,,,,
luigi_23,factorial_test.py,True,,,,51.0,,,,,
luigi_24,factorial_test.py,True,,,,51.0,,,,,
luigi_25,factorial_test.py,True,,,,51.0,,,,,
luigi_26,factorial_test.py,True,,,,51.0,,,,,
luigi_27,factorial_test.py,True,,,,51.0,,,,,
luigi_28,factorial_test.py,True,,,,51.0,,,,,
luigi_29,factorial_test.py,True,,,,51.0,,,,,
luigi_30,factorial_test.py,True,,,,51.0,,,,,
luigi_31,factorial_test.py,True,,,,51.0,,,,,
luigi_32,factorial_test.py,True,,,,51.0,,,,,
luigi_33,factorial_test.py,True,,,,51.0,,,,,
markup_1,test_markup.py,True,LLAMA_TESTCUT_test_markup.py,,,100.0,,,,,
markup_2,test_markup.py,True,LLAMA_TESTCUT_test_markup.py,,,100.0,,,,,
matplotlib_1,test_container.py,True,,,,15.0,,,,,
matplotlib_2,test_container.py,True,,,,15.0,,,,,
matplotlib_3,test_container.py,True,,,,15.0,,,,,
matplotlib_4,test_container.py,True,,,,15.0,,,,,
matplotlib_5,test_container.py,True,,,,15.0,,,,,
matplotlib_6,test_container.py,True,,,,15.0,,,,,
matplotlib_7,test_container.py,True,,,,15.0,,,,,
matplotlib_8,test_container.py,True,,,,15.0,,,,,
matplotlib_9,test_container.py,True,,,,15.0,,,,,
matplotlib_10,test_container.py,True,,,,15.0,,,,,
matplotlib_11,test_container.py,True,,,,15.0,,,,,
matplotlib_12,test_container.py,True,,,,15.0,,,,,
matplotlib_13,test_container.py,True,,,,15.0,,,,,
matplotlib_14,test_container.py,True,,,,15.0,,,,,
matplotlib_15,test_container.py,True,,,,15.0,,,,,
matplotlib_16,test_container.py,True,,,,15.0,,,,,
matplotlib_17,test_container.py,True,,,,15.0,,,,,
matplotlib_18,test_container.py,True,,,,15.0,,,,,
matplotlib_19,test_container.py,True,,,,15.0,,,,,
matplotlib_20,test_container.py,True,,,,15.0,,,,,
matplotlib_21,test_container.py,True,,,,15.0,,,,,
matplotlib_22,test_container.py,True,,,,15.0,,,,,
matplotlib_23,test_container.py,True,,,,15.0,,,,,
matplotlib_24,test_container.py,True,,,,15.0,,,,,
matplotlib_25,test_container.py,True,,,,15.0,,,,,
matplotlib_26,test_container.py,True,,,,15.0,,,,,
matplotlib_27,test_container.py,True,,,,15.0,,,,,
matplotlib_28,test_container.py,True,,,,15.0,,,,,
matplotlib_29,test_container.py,True,,,,15.0,,,,,
matplotlib_30,test_container.py,True,,,,15.0,,,,,
middle_1,test_middle.py,True,,,,96.0,,,,,
middle_2,test_middle.py,True,,,,96.0,,,,,
pandas_1,test_missing.py,False,,,,,,,,,
pandas_2,test_missing.py,False,,,,,,,,,
pandas_3,test_missing.py,False,,,,,,,,,
pandas_4,test_missing.py,False,,,,,,,,,
pandas_5,test_missing.py,False,,,,,,,,,
pandas_6,test_missing.py,False,,,,,,,,,
pandas_7,test_missing.py,False,,,,,,,,,
pandas_8,test_missing.py,False,,,,,,,,,
pandas_9,test_missing.py,False,,,,,,,,,
pandas_10,test_missing.py,False,,,,,,,,,
pandas_11,test_missing.py,False,,,,,,,,,
pandas_12,test_missing.py,False,,,,,,,,,
pandas_13,test_missing.py,False,,,,,,,,,
pandas_14,test_missing.py,False,,,,,,,,,
pandas_15,test_missing.py,False,,,,,,,,,
pandas_16,test_missing.py,False,,,,,,,,,
pandas_17,test_missing.py,False,,,,,,,,,
pandas_18,test_missing.py,False,,,,,,,,,
pandas_19,test_missing.py,False,,,,,,,,,
pandas_20,test_missing.py,False,,,,,,,,,
pandas_21,test_missing.py,False,,,,,,,,,
pandas_22,test_missing.py,False,,,,,,,,,
pandas_23,test_missing.py,False,,,,,,,,,
pandas_24,test_missing.py,False,,,,,,,,,
pandas_25,test_missing.py,False,,,,,,,,,
pandas_26,test_missing.py,False,,,,,,,,,
pandas_27,test_missing.py,False,,,,,,,,,
pandas_28,test_missing.py,False,,,,,,,,,
pandas_29,test_missing.py,False,,,,,,,,,
pandas_30,test_missing.py,False,,,,,,,,,
pandas_31,test_missing.py,False,,,,,,,,,
pandas_32,test_missing.py,False,,,,,,,,,
pandas_33,test_missing.py,False,,,,,,,,,
pandas_34,test_missing.py,False,,,,,,,,,
pandas_35,test_missing.py,False,,,,,,,,,
pandas_36,test_missing.py,False,,,,,,,,,
pandas_37,test_missing.py,False,,,,,,,,,
pandas_38,test_missing.py,False,,,,,,,,,
pandas_39,test_missing.py,False,,,,,,,,,
pandas_40,test_missing.py,False,,,,,,,,,
pandas_41,test_missing.py,False,,,,,,,,,
pandas_42,test_missing.py,False,,,,,,,,,
pandas_43,test_missing.py,False,,,,,,,,,
