program_name,test_file,usable,llm_test_file,builds,passes,coverage_before,coverage_after,coverage_delta,kept,discard_reason,prompt_mode
ansible_1,test_errors.py,True,test_errors_LLAMA_CORNERCASES.py,,,52.0,,,,,CORNERCASES
ansible_2,test_errors.py,True,test_errors_LLAMA_CORNERCASES.py,,,52.0,,,,,CORNERCASES
ansible_3,test_errors.py,True,test_errors_LLAMA_CORNERCASES.py,,,52.0,,,,,CORNERCASES
ansible_4,test_errors.py,True,test_errors_LLAMA_CORNERCASES.py,,,52.0,,,,,CORNERCASES
ansible_5,test_errors.py,True,test_errors_LLAMA_CORNERCASES.py,,,52.0,,,,,CORNERCASES
ansible_6,test_errors.py,True,test_errors_LLAMA_CORNERCASES.py,,,52.0,,,,,CORNERCASES
ansible_7,test_errors.py,True,test_errors_LLAMA_CORNERCASES.py,,,52.0,,,,,CORNERCASES
ansible_8,test_errors.py,True,test_errors_LLAMA_CORNERCASES.py,,,52.0,,,,,CORNERCASES
ansible_9,test_errors.py,True,test_errors_LLAMA_CORNERCASES.py,,,52.0,,,,,CORNERCASES
ansible_10,test_errors.py,True,test_errors_LLAMA_CORNERCASES.py,,,52.0,,,,,CORNERCASES
ansible_11,test_errors.py,True,test_errors_LLAMA_CORNERCASES.py,,,52.0,,,,,CORNERCASES
ansible_12,test_errors.py,True,test_errors_LLAMA_CORNERCASES.py,,,52.0,,,,,CORNERCASES
ansible_13,test_errors.py,True,test_errors_LLAMA_CORNERCASES.py,,,52.0,,,,,CORNERCASES
ansible_14,test_errors.py,True,test_errors_LLAMA_CORNERCASES.py,,,52.0,,,,,CORNERCASES
ansible_15,test_errors.py,True,test_errors_LLAMA_CORNERCASES.py,,,52.0,,,,,CORNERCASES
ansible_16,test_errors.py,True,test_errors_LLAMA_CORNERCASES.py,,,52.0,,,,,CORNERCASES
ansible_17,test_errors.py,True,test_errors_LLAMA_CORNERCASES.py,,,52.0,,,,,CORNERCASES
ansible_18,test_errors.py,True,test_errors_LLAMA_CORNERCASES.py,,,52.0,,,,,CORNERCASES
black_1,test_black.py,True,test_black_LLAMA_CORNERCASES.py,,,80.0,,,,,CORNERCASES
black_2,test_black.py,True,test_black_LLAMA_CORNERCASES.py,,,80.0,,,,,CORNERCASES
black_3,test_black.py,True,test_black_LLAMA_CORNERCASES.py,,,80.0,,,,,CORNERCASES
black_4,test_black.py,True,test_black_LLAMA_CORNERCASES.py,,,80.0,,,,,CORNERCASES
black_5,test_black.py,True,test_black_LLAMA_CORNERCASES.py,,,79.0,,,,,CORNERCASES
black_6,test_black.py,True,test_black_LLAMA_CORNERCASES.py,,,79.0,,,,,CORNERCASES
black_7,test_black.py,True,test_black_LLAMA_CORNERCASES.py,,,79.0,,,,,CORNERCASES
black_8,test_black.py,True,test_black_LLAMA_CORNERCASES.py,,,79.0,,,,,CORNERCASES
black_9,test_black.py,True,test_black_LLAMA_CORNERCASES.py,,,79.0,,,,,CORNERCASES
black_10,test_black.py,True,test_black_LLAMA_CORNERCASES.py,,,69.0,,,,,CORNERCASES
black_11,test_black.py,True,test_black_LLAMA_CORNERCASES.py,,,69.0,,,,,CORNERCASES
black_12,test_black.py,True,test_black_LLAMA_CORNERCASES.py,,,71.0,,,,,CORNERCASES
black_13,test_black.py,True,test_black_LLAMA_CORNERCASES.py,,,71.0,,,,,CORNERCASES
black_14,test_black.py,True,test_black_LLAMA_CORNERCASES.py,,,71.0,,,,,CORNERCASES
black_15,test_black.py,True,test_black_LLAMA_CORNERCASES.py,,,72.0,,,,,CORNERCASES
black_16,test_black.py,True,test_black_LLAMA_CORNERCASES.py,,,72.0,,,,,CORNERCASES
black_17,test_black.py,True,test_black_LLAMA_CORNERCASES.py,,,66.0,,,,,CORNERCASES
black_18,test_black.py,True,test_black_LLAMA_CORNERCASES.py,,,66.0,,,,,CORNERCASES
black_19,test_black.py,True,test_black_LLAMA_CORNERCASES.py,,,33.0,,,,,CORNERCASES
black_20,test_black.py,True,test_black_LLAMA_CORNERCASES.py,,,33.0,,,,,CORNERCASES
black_21,test_black.py,True,test_black_LLAMA_CORNERCASES.py,,,32.0,,,,,CORNERCASES
black_22,test_black.py,True,test_black_LLAMA_CORNERCASES.py,,,31.0,,,,,CORNERCASES
black_23,test_black.py,True,test_black_LLAMA_CORNERCASES.py,,,29.0,,,,,CORNERCASES
calculator_1,test_calc.py,True,test_calc_LLAMA_CORNERCASES.py,,,100.0,,,,,CORNERCASES
cookiecutter_1,test_generate_file.py,True,test_generate_file_LLAMA_CORNERCASES.py,,,44.0,,,,,CORNERCASES
cookiecutter_2,test_generate_file.py,True,test_generate_file_LLAMA_CORNERCASES.py,,,45.0,,,,,CORNERCASES
cookiecutter_3,test_generate_file.py,True,test_generate_file_LLAMA_CORNERCASES.py,,,41.0,,,,,CORNERCASES
cookiecutter_4,test_generate_file.py,True,test_generate_file_LLAMA_CORNERCASES.py,,,42.0,,,,,CORNERCASES
expression_1,test_expression.py,True,test_expression_LLAMA_CORNERCASES.py,,,88.0,,,,,CORNERCASES
fastapi_1,test_jsonable_encoder.py,True,test_jsonable_encoder_LLAMA_CORNERCASES.py,,,44.0,,,,,CORNERCASES
fastapi_2,test_jsonable_encoder.py,True,test_jsonable_encoder_LLAMA_CORNERCASES.py,,,44.0,,,,,CORNERCASES
fastapi_3,test_jsonable_encoder.py,True,test_jsonable_encoder_LLAMA_CORNERCASES.py,,,44.0,,,,,CORNERCASES
fastapi_4,test_jsonable_encoder.py,True,test_jsonable_encoder_LLAMA_CORNERCASES.py,,,43.0,,,,,CORNERCASES
fastapi_5,test_jsonable_encoder.py,True,test_jsonable_encoder_LLAMA_CORNERCASES.py,,,43.0,,,,,CORNERCASES
fastapi_6,test_jsonable_encoder.py,True,test_jsonable_encoder_LLAMA_CORNERCASES.py,,,43.0,,,,,CORNERCASES
fastapi_7,test_jsonable_encoder.py,True,test_jsonable_encoder_LLAMA_CORNERCASES.py,,,43.0,,,,,CORNERCASES
fastapi_8,test_jsonable_encoder.py,True,test_jsonable_encoder_LLAMA_CORNERCASES.py,,,44.0,,,,,CORNERCASES
fastapi_9,test_jsonable_encoder.py,True,test_jsonable_encoder_LLAMA_CORNERCASES.py,,,44.0,,,,,CORNERCASES
fastapi_10,test_jsonable_encoder.py,True,test_jsonable_encoder_LLAMA_CORNERCASES.py,,,44.0,,,,,CORNERCASES
fastapi_11,test_jsonable_encoder.py,True,test_jsonable_encoder_LLAMA_CORNERCASES.py,,,44.0,,,,,CORNERCASES
fastapi_12,test_jsonable_encoder.py,True,test_jsonable_encoder_LLAMA_CORNERCASES.py,,,47.0,,,,,CORNERCASES
fastapi_13,test_jsonable_encoder.py,True,test_jsonable_encoder_LLAMA_CORNERCASES.py,,,48.0,,,,,CORNERCASES
fastapi_14,test_jsonable_encoder.py,True,test_jsonable_encoder_LLAMA_CORNERCASES.py,,,50.0,,,,,CORNERCASES
fastapi_15,test_jsonable_encoder.py,True,test_jsonable_encoder_LLAMA_CORNERCASES.py,,,50.0,,,,,CORNERCASES
fastapi_16,test_jsonable_encoder.py,True,test_jsonable_encoder_LLAMA_CORNERCASES.py,,,50.0,,,,,CORNERCASES
httpie_1,test_exit_status.py,True,test_exit_status_LLAMA_CORNERCASES.py,,,57.0,,,,,CORNERCASES
httpie_2,test_exit_status.py,True,test_exit_status_LLAMA_CORNERCASES.py,,,57.0,,,,,CORNERCASES
httpie_3,test_exit_status.py,True,test_exit_status_LLAMA_CORNERCASES.py,,,57.0,,,,,CORNERCASES
httpie_4,test_exit_status.py,True,test_exit_status_LLAMA_CORNERCASES.py,,,56.0,,,,,CORNERCASES
httpie_5,test_exit_status.py,True,test_exit_status_LLAMA_CORNERCASES.py,,,56.0,,,,,CORNERCASES
keras_1,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_2,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_3,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_4,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_5,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_6,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_7,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_8,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_9,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_10,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_11,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_12,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_13,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_14,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_15,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_16,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_17,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_18,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_19,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_20,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_21,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_22,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_23,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_24,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_25,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_26,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_27,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_28,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_29,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_30,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_31,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_32,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_33,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_34,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_35,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_36,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_37,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_38,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_39,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_40,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_41,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
keras_42,test_loss_masking.py,True,test_loss_masking_LLAMA_CORNERCASES.py,,,7.0,,,,,CORNERCASES
