program_name,test_file,usable,llm_test_file,builds,passes,coverage_before,coverage_after,coverage_delta,kept,discard_reason,prompt_mode
ansible_1,test_errors.py,True,test_errors_LLAMA_TESTONLY.py,False,,52.0,,,,1.0,TESTONLY
ansible_2,test_errors.py,True,test_errors_LLAMA_TESTONLY.py,False,,52.0,,,,1.0,TESTONLY
ansible_3,test_errors.py,True,test_errors_LLAMA_TESTONLY.py,False,,52.0,,,,1.0,TESTONLY
ansible_4,test_errors.py,True,test_errors_LLAMA_TESTONLY.py,False,,52.0,,,,1.0,TESTONLY
ansible_5,test_errors.py,True,test_errors_LLAMA_TESTONLY.py,False,,52.0,,,,1.0,TESTONLY
ansible_6,test_errors.py,True,test_errors_LLAMA_TESTONLY.py,False,,52.0,,,,1.0,TESTONLY
ansible_7,test_errors.py,True,test_errors_LLAMA_TESTONLY.py,False,,52.0,,,,1.0,TESTONLY
ansible_8,test_errors.py,True,test_errors_LLAMA_TESTONLY.py,False,,52.0,,,,1.0,TESTONLY
ansible_9,test_errors.py,True,test_errors_LLAMA_TESTONLY.py,False,,52.0,,,,1.0,TESTONLY
ansible_10,test_errors.py,True,test_errors_LLAMA_TESTONLY.py,False,,52.0,,,,1.0,TESTONLY
ansible_11,test_errors.py,True,test_errors_LLAMA_TESTONLY.py,False,,52.0,,,,1.0,TESTONLY
ansible_12,test_errors.py,True,test_errors_LLAMA_TESTONLY.py,False,,52.0,,,,1.0,TESTONLY
ansible_13,test_errors.py,True,test_errors_LLAMA_TESTONLY.py,False,,52.0,,,,1.0,TESTONLY
ansible_14,test_errors.py,True,test_errors_LLAMA_TESTONLY.py,False,,52.0,,,,1.0,TESTONLY
ansible_15,test_errors.py,True,test_errors_LLAMA_TESTONLY.py,False,,52.0,,,,1.0,TESTONLY
ansible_16,test_errors.py,True,test_errors_LLAMA_TESTONLY.py,False,,52.0,,,,1.0,TESTONLY
ansible_17,test_errors.py,True,test_errors_LLAMA_TESTONLY.py,False,,52.0,,,,1.0,TESTONLY
ansible_18,test_errors.py,True,test_errors_LLAMA_TESTONLY.py,False,,52.0,,,,1.0,TESTONLY
black_1,test_black.py,True,test_black_LLAMA_TESTONLY.py,False,,80.0,,,,1.0,TESTONLY
black_2,test_black.py,True,test_black_LLAMA_TESTONLY.py,False,,80.0,,,,1.0,TESTONLY
