program_name,usable,llm_test_file,builds,passes,coverage_before,coverage_after,coverage_delta,kept,discard_reason
ansible_1,False,,,,,,,,
ansible_2,False,,,,,,,,
ansible_3,False,,,,,,,,
ansible_4,False,,,,,,,,
ansible_5,False,,,,,,,,
ansible_6,False,,,,,,,,
ansible_7,False,,,,,,,,
ansible_8,False,,,,,,,,
ansible_9,False,,,,,,,,
ansible_10,False,,,,,,,,
ansible_11,False,,,,,,,,
ansible_12,False,,,,,,,,
ansible_13,False,,,,,,,,
ansible_14,False,,,,,,,,
ansible_15,False,,,,,,,,
ansible_16,False,,,,,,,,
ansible_17,False,,,,,,,,
ansible_18,False,,,,,,,,
black_1,False,,,,,,,,
black_2,False,,,,,,,,
black_3,False,,,,,,,,
black_4,True,,,,80.0,,,,
black_5,True,,,,79.0,,,,
black_6,True,,,,79.0,,,,
black_7,True,,,,79.0,,,,
black_8,True,,,,79.0,,,,
black_9,True,,,,79.0,,,,
black_10,True,,,,69.0,,,,
black_11,True,,,,69.0,,,,
black_12,True,,,,71.0,,,,
black_13,True,,,,71.0,,,,
black_14,True,,,,71.0,,,,
black_15,True,,,,72.0,,,,
black_16,True,,,,72.0,,,,
black_17,True,,,,66.0,,,,
black_18,True,,,,66.0,,,,
black_19,True,,,,33.0,,,,
black_20,True,,,,33.0,,,,
black_21,True,,,,32.0,,,,
black_22,True,,,,31.0,,,,
black_23,True,,,,29.0,,,,
calculator_1,True,,,,100.0,,,,
cookiecutter_1,True,,,,44.0,,,,
cookiecutter_2,True,,,,45.0,,,,
cookiecutter_3,False,,,,,,,,
cookiecutter_4,True,,,,42.0,,,,
expression_1,True,,,,88.0,,,,
fastapi_1,True,,,,64.0,,,,
fastapi_2,True,,,,64.0,,,,
fastapi_3,True,,,,64.0,,,,
fastapi_4,False,,,,,,,,
fastapi_5,False,,,,,,,,
fastapi_6,False,,,,,,,,
fastapi_7,False,,,,,,,,
fastapi_8,False,,,,,,,,
fastapi_9,False,,,,,,,,
fastapi_10,False,,,,,,,,
fastapi_11,False,,,,,,,,
fastapi_12,False,,,,,,,,
fastapi_13,False,,,,,,,,
fastapi_14,False,,,,,,,,
fastapi_15,False,,,,,,,,
fastapi_16,False,,,,,,,,
httpie_1,False,,,,,,,,
httpie_2,False,,,,,,,,
httpie_3,False,,,,,,,,
httpie_4,False,,,,,,,,
httpie_5,False,,,,,,,,
keras_1,False,,,,,,,,
keras_2,False,,,,,,,,
keras_3,False,,,,,,,,
keras_4,False,,,,,,,,
keras_5,False,,,,,,,,
keras_6,False,,,,,,,,
keras_7,False,,,,,,,,
keras_8,False,,,,,,,,
keras_9,False,,,,,,,,
keras_10,False,,,,,,,,
keras_11,False,,,,,,,,
keras_12,False,,,,,,,,
keras_13,False,,,,,,,,
keras_14,False,,,,,,,,
keras_15,False,,,,,,,,
keras_16,False,,,,,,,,
keras_17,False,,,,,,,,
keras_18,False,,,,,,,,
keras_19,False,,,,,,,,
keras_20,False,,,,,,,,
keras_21,False,,,,,,,,
keras_22,False,,,,,,,,
keras_23,False,,,,,,,,
keras_24,False,,,,,,,,
keras_25,False,,,,,,,,
keras_26,False,,,,,,,,
keras_27,False,,,,,,,,
keras_28,False,,,,,,,,
keras_29,False,,,,,,,,
keras_30,False,,,,,,,,
keras_31,False,,,,,,,,
keras_32,False,,,,,,,,
keras_33,False,,,,,,,,
keras_34,False,,,,,,,,
keras_35,False,,,,,,,,
keras_36,False,,,,,,,,
keras_37,False,,,,,,,,
keras_38,False,,,,,,,,
keras_39,False,,,,,,,,
keras_40,False,,,,,,,,
keras_41,False,,,,,,,,
keras_42,False,,,,,,,,
keras_43,False,,,,,,,,
keras_44,False,,,,,,,,
keras_45,False,,,,,,,,
luigi_1,True,,,,51.0,,,,
luigi_2,True,,,,51.0,,,,
luigi_3,True,,,,51.0,,,,
luigi_4,True,,,,51.0,,,,
luigi_5,True,,,,51.0,,,,
luigi_6,True,,,,51.0,,,,
luigi_7,True,,,,51.0,,,,
luigi_8,True,,,,51.0,,,,
luigi_9,True,,,,51.0,,,,
luigi_10,True,,,,51.0,,,,
luigi_11,True,,,,51.0,,,,
luigi_12,True,,,,51.0,,,,
luigi_13,True,,,,51.0,,,,
luigi_14,True,,,,51.0,,,,
luigi_15,True,,,,51.0,,,,
luigi_16,True,,,,51.0,,,,
luigi_17,True,,,,51.0,,,,
luigi_18,True,,,,51.0,,,,
luigi_19,True,,,,51.0,,,,
luigi_20,True,,,,51.0,,,,
luigi_21,True,,,,51.0,,,,
luigi_22,True,,,,51.0,,,,
luigi_23,True,,,,51.0,,,,
luigi_24,True,,,,51.0,,,,
luigi_25,True,,,,51.0,,,,
luigi_26,True,,,,51.0,,,,
luigi_27,True,,,,51.0,,,,
